molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4759800,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCNc1ccc(C(=O)NC(C(=O)O)C(C)C)cc1,40.0,Active,538.6050000000002,2.578900000000001,5,10,7.397940008672037
CHEMBL4757974,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCNc1ccc(C(=O)NC(Cc2cc3ccccc3[nH]2)C(=O)O)cc1,30.0,Active,625.6860000000004,3.646900000000001,6,10,7.522878745280337
CHEMBL4783671,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCNc1ccc(C(=O)NC(Cc2ccccc2)C(=O)O)cc1,90.0,Active,586.6490000000003,3.1656000000000004,5,10,7.045757490560675
CHEMBL4748139,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,10.0,Active,568.5870000000004,1.7877000000000007,6,11,8.0
CHEMBL4752301,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC(=O)CNC(CC(C)C)C(=O)O,10980.0,Inactive,447.49200000000025,1.2433000000000003,4,10,4.959397659885927
CHEMBL4761589,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC(=O)CNC(Cc1cc2ccccc2[nH]1)C(=O)O,1830.0,Intermediate,520.5460000000003,1.921199999999999,5,10,5.73754891026957
CHEMBL4779765,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC(=O)CNC(Cc1ccccc1)C(=O)O,12260.0,Inactive,481.5090000000002,1.4399000000000004,4,10,4.911509529817604
CHEMBL4745475,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC(=O)CNC(CCC(=O)O)C(=O)O,1630.0,Intermediate,463.4470000000003,0.0620000000000003,5,11,5.787812395596042
CHEMBL5194543,Cc1ccc(-c2c(CN3CCCCC3)nc3scc(C(=O)O)n23)cc1,907.0,Active,355.463,4.055320000000003,1,5,6.042392712939905
CHEMBL5176561,CCC(=O)NNC(=O)c1csc2ncc(-c3ccc(C)cc3)n12,5669.0,Intermediate,328.39700000000005,2.5422200000000004,2,5,5.24649354300903
CHEMBL5204417,CC(=O)NNC(=O)c1csc2ncc(-c3ccc(Br)cc3)n12,291.0,Active,379.239,2.6062000000000003,2,5,6.536107011014093
CHEMBL5170804,Cc1ccc(-c2c(CN3CCOCC3)nc3scc(C(=O)NN)n23)cc1,123.0,Active,371.46600000000007,1.80692,2,7,6.910094888560602
CHEMBL5173449,COc1ccc(-c2c(CN3CCOCC3)nc3scc(C(=O)NN)n23)cc1,585.0,Active,387.465,1.5070999999999997,2,8,6.232844133917819
CHEMBL5204650,NNC(=O)c1csc2nc(CN3CCOCC3)c(-c3ccc(Br)cc3)n12,3277.0,Intermediate,436.335,2.261,2,7,5.484523558617624
CHEMBL426,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,30.0,Active,454.4470000000002,0.2684000000000012,5,10,7.522878745280337
CHEMBL1232702,COC(=O)C1CCN(C(=O)c2ccc(N(C)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,44000.0,Inactive,450.5030000000002,1.2458000000000002,2,10,4.356547323513812
CHEMBL1232399,COC(=O)C1CCN(C(=O)c2ccc(NCc3cnc4nc(N)nc(N)c4n3)cc2)CC1,51000.0,Inactive,436.4760000000003,1.2214999999999996,3,10,4.292429823902063
CHEMBL2178602,COC(=O)C1CCN(C(=O)c2ccc(N(CCO)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,27000.0,Inactive,480.52900000000034,0.6083000000000002,3,11,4.568636235841013
CHEMBL2178600,COC(=O)C1CCN(C(=O)c2ccc(NCc3cnc4nc(N)nc(N)c4n3)cn2)CC1,60000.0,Inactive,437.4640000000003,0.6165000000000003,3,11,4.221848749616356
CHEMBL2178604,Nc1nc(N)c2nc(CNc3ccc(C(=O)N4CCC(C(=O)O)CC4)cc3)cnc2n1,45000.0,Inactive,422.4490000000002,1.1330999999999998,4,9,4.346787486224656
CHEMBL2178599,NC(=O)C1CCN(C(=O)c2ccc(NCc3cnc4nc(N)nc(N)c4n3)cc2)CC1,65000.0,Inactive,421.46500000000026,0.5337999999999995,4,9,4.187086643357144
CHEMBL5182291,CCOC(=O)C1CCCN1C(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1,10200.0,Inactive,436.47600000000017,1.364,3,10,4.991399828238082
CHEMBL5180552,CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N2CCC(C(=O)OC)CC2)cc1,4300.0,Intermediate,464.5300000000004,1.6359000000000006,2,10,5.366531544420414
CHEMBL5193564,C#CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N2CCC(C(=O)OC)CC2)cc1,78000.0,Inactive,474.5250000000003,1.249200000000001,2,10,4.107905397309519
CHEMBL5184936,COC(=O)C1CCN(C(=O)c2ccc(N(Cc3ccccc3)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,73000.0,Inactive,526.6010000000002,2.8162000000000003,2,10,4.136677139879544
CHEMBL5182125,COC(=O)C1CCN(C(=O)c2ccc(SCc3cnc4nc(N)nc(N)c4n3)nc2)CC1,89000.0,Inactive,454.51600000000025,1.2966999999999995,2,11,4.050609993355087
CHEMBL5171609,COC(=O)C1CCN(C(=O)c2ccc(N(CCCO)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,15000.0,Inactive,494.5560000000003,0.9984,3,11,4.823908740944319
CHEMBL5183748,COC(=O)C1CCN(C(=O)Cc2ccc(NCc3cnc4nc(N)nc(N)c4n3)cc2)CC1,35000.0,Inactive,450.5030000000002,1.1504000000000003,3,10,4.455931955649724
CHEMBL5170968,COC(=O)C1CCN(C(=O)c2cccc(NCc3cnc4nc(N)nc(N)c4n3)c2)CC1,59000.0,Inactive,436.4760000000003,1.2214999999999996,3,10,4.229147988357856
CHEMBL26006,Nc1nc(N)c2nc(CNc3cccc4ccccc34)cnc2n1,4400.0,Intermediate,317.3560000000001,2.3495,3,7,5.356547323513812
CHEMBL5198855,Nc1nc(N)c2nc(C(=O)NCc3ccccc3)cnc2n1,100000.0,Inactive,295.30600000000004,0.5141999999999993,3,7,4.0
CHEMBL5175397,Nc1nc(N)c2nc(C(=O)NCc3cccc(C(F)(F)F)c3)cnc2n1,100000.0,Inactive,363.30300000000005,1.533,3,7,4.0
CHEMBL5206994,CCOC(=O)C1CCN(C(=O)c2ccc(N(C)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,12000.0,Inactive,464.53000000000026,1.6359,2,10,4.920818753952375
CHEMBL5205559,CCCOC(=O)C1CCN(C(=O)c2ccc(N(C)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,9000.0,Intermediate,478.5570000000003,2.026,2,10,5.045757490560675
CHEMBL5197107,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N2CCCCC2)cc1,29900.0,Inactive,392.4670000000002,1.8467,2,8,4.52432881167557
CHEMBL5175012,Nc1nc(N)c2nc(CNc3ccc(C(=O)c4ccccc4)cc3)cnc2n1,6020.0,Intermediate,371.40400000000005,2.4273000000000007,3,8,5.220403508742176
CHEMBL5204239,Nc1nc(N)c2nc(CNc3ccc(C(=O)NCCc4ccccc4)cc3)cnc2n1,40300.0,Inactive,414.4730000000001,2.168799999999999,4,8,4.394694953858891
CHEMBL5208403,COc1ccc(CNC(=O)c2ccc(CNCc3cnc4nc(N)nc(N)c4n3)cc2)cc1,100000.0,Inactive,444.49900000000014,1.8126,4,9,4.0
CHEMBL5173732,COc1ccc(CNC(=O)c2ccc(CNCc3cnc4nc(N)nc(N)c4n3)cc2)cc1OC,100000.0,Inactive,474.5250000000002,1.8212,4,10,4.0
CHEMBL5201599,Nc1nc(N)c2nc(CNCc3ccc(Oc4ccccc4)cc3)cnc2n1,100000.0,Inactive,373.4200000000001,2.666300000000001,3,8,4.0
CHEMBL5205037,COc1ccc(Oc2ccc(CNCc3cnc4nc(N)nc(N)c4n3)cc2)cc1,100000.0,Inactive,403.44600000000014,2.6749,3,9,4.0
CHEMBL5180685,COc1cc(Oc2ccc(CNCc3cnc4nc(N)nc(N)c4n3)cc2)cc(OC)c1OC,100000.0,Inactive,463.4980000000002,2.692100000000001,3,11,4.0
CHEMBL5188304,NC(=O)C1CCN(C(=O)Cc2ccc(N(CCCO)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,35700.0,Inactive,493.5720000000003,0.2396000000000012,4,10,4.447331783887806
CHEMBL5200612,NC(=O)C1CCCN1C(=O)Cc1ccc(N(CCCO)Cc2cnc3nc(N)nc(N)c3n2)cc1,100000.0,Inactive,479.5450000000002,-0.0079999999999976,4,10,4.0
CHEMBL5199171,CCOC(=O)C1CCN(C(=O)c2ccc(N(CC)Cc3cnc4nc(N)nc(N)c4n3)cc2)CC1,13000.0,Inactive,478.5570000000003,2.026,2,10,4.886056647693163
CHEMBL5201183,CCN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)c2ccccc2)cc1,3400.0,Intermediate,399.45800000000014,2.841700000000001,2,8,5.468521082957745
CHEMBL5193762,COc1ccc(Oc2ccc(CN(Cc3ccccc3)Cc3cnc4nc(N)nc(N)c4n3)cc2)cc1,100000.0,Inactive,493.57100000000025,4.587500000000002,2,9,4.0
CHEMBL5184646,COc1ccc(Oc2ccc(CN(C)Cc3cnc4nc(N)nc(N)c4n3)cc2)cc1,100000.0,Inactive,417.4730000000001,3.0171,2,9,4.0
CHEMBL5285331,COc1nc(N)nc(Nc2ccccc2)c1/N=C/c1ccccc1,68010.0,Inactive,319.36800000000005,3.561600000000002,2,6,4.16742722515382
CHEMBL5282483,COc1nc(N)nc(Nc2ccccc2)c1/N=C/c1ccc(C)cc1,65980.0,Inactive,333.3950000000001,3.870020000000003,2,6,4.180587688790675
CHEMBL5273429,COc1nc(N)nc(Nc2ccccc2)c1/N=C/c1ccncc1,63050.0,Inactive,320.35600000000005,2.9566000000000017,2,7,4.200314909090899
CHEMBL5283807,COc1nc(N)nc(Nc2ccccc2)c1/N=C/c1ccccc1O,52890.0,Inactive,335.3670000000001,3.267200000000002,3,7,4.276626432981016
CHEMBL5288242,COc1nc(N)nc(Nc2ccccc2)c1/N=C/c1ccc(C(F)(F)F)cc1,64540.0,Inactive,387.36500000000007,4.580400000000003,2,6,4.190171038932114
CHEMBL5282297,Nc1nc2c(nc(-c3ccc(Br)cc3)n2-c2ccccc2)c(=O)[nH]1,54450.0,Inactive,382.22100000000006,3.1205000000000016,2,5,4.264002115908206
